,country,time,rel_reff,rel_reff_err
0,kenya,2012-12-31,0.5185261772089147,0.6255575766510878
1,kenya,2012-01-15,0.4925889479560208,0.6151825113362183
2,kenya,2012-01-31,0.5127689150064083,0.6307153429420422
3,kenya,2012-02-15,0.06342751097179278,0.5448360704508768
4,kenya,2012-02-29,0.039881025479549415,0.542742043321648
5,kenya,2012-03-15,0.00392830593976079,0.5374785512186931
6,kenya,2012-03-31,-0.16524579605551182,0.5024005503544933
7,kenya,2012-04-15,-0.15443527553238479,0.5035741461056465
8,kenya,2012-04-30,-0.4158694888358778,0.445656376000132
9,kenya,2012-05-15,-0.21341873850594828,0.48401622175916353
10,kenya,2012-05-31,0.2891034762075724,0.5896542087398664
11,kenya,2012-06-15,0.2922015003225731,0.5945530018591877
12,kenya,2012-06-30,0.06372297149858408,0.5494313202705262
13,kenya,2012-07-15,-0.14929044869948616,0.5057763958833459
14,kenya,2012-07-31,-0.476017317773445,0.4325176450785273
15,kenya,2012-08-15,0.1227898440307098,0.5540208471040137
16,kenya,2012-08-31,-0.017014724374826873,0.5256616964185395
17,kenya,2012-09-15,-0.04369953797691162,0.5197226635487621
18,kenya,2012-09-30,-0.07390430303488671,0.5127301069604336
19,kenya,2012-10-15,-0.08298122597658875,0.5097857131226988
20,kenya,2012-10-31,-0.08828526336104847,0.5074560034757624
21,kenya,2012-11-15,-0.10255968374661828,0.5031981192749139
22,kenya,2012-11-30,-0.18737105304187862,0.483581109725876
23,kenya,2012-12-15,-0.2288458177064805,0.4720503923152622
24,chad,2012-12-31,0.8568710731233629,0.46750792795414486
25,chad,2012-01-15,0.3910273905165229,0.3913440422781943
26,chad,2012-01-31,0.6894951489463805,0.4607620252842345
27,chad,2012-02-15,0.23098284806777603,0.38483404717583525
28,chad,2012-02-29,0.22398195138237864,0.3872211761678367
29,chad,2012-03-15,0.015008351192053349,0.34951737483986894
30,chad,2012-03-31,-0.029466526097245094,0.34204405265841653
31,chad,2012-04-15,-0.15382022011033558,0.31603659289112873
32,chad,2012-04-30,-0.3872372748542168,0.26676235906217954
33,chad,2012-05-15,-0.028204395603297794,0.3286810608079826
34,chad,2012-05-31,-0.3113422726051538,0.2735841487902098
35,chad,2012-06-15,-0.22284764323416928,0.2863020032757098
36,chad,2012-06-30,-0.401543003607137,0.25106402864001565
37,chad,2012-07-15,-0.239344085579281,0.2743177646521642
38,chad,2012-07-31,-0.02945607047727261,0.30806552793002184
39,chad,2012-08-15,-0.03842726754020531,0.3059868509963193
40,chad,2012-08-31,-0.06831399221385936,0.30025541734702477
41,chad,2012-09-15,0.03328161357905768,0.3176300285166497
42,chad,2012-09-30,0.12024682344445314,0.3342074170165163
43,chad,2012-10-15,-0.014145267540146556,0.31270735289001256
44,chad,2012-10-31,-0.08678811628980876,0.30170297985454086
45,chad,2012-11-15,-0.17149860277943985,0.2855765928915531
46,chad,2012-11-30,-0.19922300731976006,0.28065853552547343
47,chad,2012-12-15,-0.1792374544006543,0.28170177350907505
48,ethiopia,2012-12-31,0.5426882925221732,0.2903475182872489
49,ethiopia,2012-01-15,0.4227194950277884,0.27862214420731796
50,ethiopia,2012-01-31,0.33629956369729674,0.27096313413116563
51,ethiopia,2012-02-15,0.00025083120761637545,0.22159467836976735
52,ethiopia,2012-02-29,-0.12416171133446663,0.20145651608694318
53,ethiopia,2012-03-15,-0.0703862795776542,0.20935141248803985
54,ethiopia,2012-03-31,-0.2883309590576586,0.1735668899453575
55,ethiopia,2012-04-15,-0.2376961666665942,0.1780238477867833
56,ethiopia,2012-04-30,-0.39164855073575133,0.1515633905351725
57,ethiopia,2012-05-15,-0.11616985525819756,0.1885111485728595
58,ethiopia,2012-05-31,-0.23059782908951076,0.17025840017403127
59,ethiopia,2012-06-15,-0.13347988994023496,0.18196203463452415
60,ethiopia,2012-06-30,-0.18950606336931308,0.17249193872740798
61,ethiopia,2012-07-15,-0.06743892388560724,0.18879944229022386
62,ethiopia,2012-07-31,-0.06526845675410708,0.18857305469861566
63,ethiopia,2012-08-15,-0.08538445374889547,0.18522835610135602
64,ethiopia,2012-08-31,-0.043828560941339134,0.19050195760700375
65,ethiopia,2012-09-15,-0.003973823199692195,0.19628880545549604
66,ethiopia,2012-09-30,0.06056851808960029,0.2058958250176097
67,ethiopia,2012-10-15,0.039464404447953294,0.20407419244602507
68,ethiopia,2012-10-31,0.27088803719892374,0.239696801725423
69,ethiopia,2012-11-15,0.10391712152234067,0.21902716951477333
70,ethiopia,2012-11-30,0.26686280455441014,0.24478367780558208
71,ethiopia,2012-12-15,0.0042124552909144075,0.20888094281580882
72,nigeria,2012-12-31,2.2769214532666204,0.4985388578331253
73,nigeria,2012-01-15,0.6524392026687964,0.2914063052625131
74,nigeria,2012-01-31,0.6052063127454657,0.2955737865595724
75,nigeria,2012-02-15,0.06745809030025907,0.2170986059512104
76,nigeria,2012-02-29,0.13242879879960845,0.22960153174827938
77,nigeria,2012-03-15,0.008081190794616333,0.2110420164600426
78,nigeria,2012-03-31,-0.14386920225897115,0.18589113874121113
79,nigeria,2012-04-15,-0.2145790862352397,0.1726342315715955
80,nigeria,2012-04-30,-0.38904718203742106,0.14150321870518473
81,nigeria,2012-05-15,-0.22724588652348743,0.16383311229560843
82,nigeria,2012-05-31,-0.4158203912290561,0.13162581769979992
83,nigeria,2012-06-15,-0.2289303378869958,0.15664843952265228
84,nigeria,2012-06-30,-0.37831842876372324,0.13183628510377848
85,nigeria,2012-07-15,-0.20499242811879093,0.15421808415313895
86,nigeria,2012-07-31,-0.30585444644745685,0.13780307978633652
87,nigeria,2012-08-15,-0.1605922664814099,0.1562316858592076
88,nigeria,2012-08-31,-0.20810971117167476,0.14850907181856884
89,nigeria,2012-09-15,-0.1093403704992073,0.16118802267431162
90,nigeria,2012-09-30,-0.06186781433288879,0.16779909331553597
91,nigeria,2012-10-15,-0.048696200336399764,0.1701493107931262
92,nigeria,2012-10-31,-0.05271956344360995,0.17030720258321144
93,nigeria,2012-11-15,-0.11577789155295815,0.16184364014258537
94,nigeria,2012-11-30,-0.2442817818915043,0.14298915795817538
95,nigeria,2012-12-15,-0.23249205936456585,0.1430173701355548
96,pakistan,2012-12-31,0.6280090902834974,0.20821708526589236
97,pakistan,2012-01-15,0.3271489289524392,0.1797141778316222
98,pakistan,2012-01-31,0.27505009763078947,0.17720940134912058
99,pakistan,2012-02-15,0.0042926521579631505,0.14926524069772173
100,pakistan,2012-02-29,0.10618813464835042,0.16107029448740434
101,pakistan,2012-03-15,0.08022901083273482,0.15912006098886336
102,pakistan,2012-03-31,0.08497365222396369,0.1604966358609857
103,pakistan,2012-04-15,-0.010316469131552486,0.15023567798013857
104,pakistan,2012-04-30,-0.0423548523789079,0.14666221872119006
105,pakistan,2012-05-15,-0.015027672959974758,0.1504856207249009
106,pakistan,2012-05-31,-0.0859729497292876,0.14257080015292983
107,pakistan,2012-06-15,-0.09117827308568272,0.14105796665288403
108,pakistan,2012-06-30,-0.2861995869942411,0.11741720912552753
109,pakistan,2012-07-15,-0.21493316618325542,0.12317902066602042
110,pakistan,2012-07-31,-0.3947376512180968,0.10116377583288304
111,pakistan,2012-08-15,-0.17138145256666504,0.122667984125931
112,pakistan,2012-08-31,-0.28302646047566893,0.10935569566666617
113,pakistan,2012-09-15,-0.08376556017893577,0.12844467188222022
114,pakistan,2012-09-30,0.12215971098861655,0.1497085189340064
115,pakistan,2012-10-15,0.09101720617572329,0.14775539831920576
116,pakistan,2012-10-31,0.07425817229556397,0.1476672252834717
117,pakistan,2012-11-15,-0.05592840173377356,0.13437470334154347
118,pakistan,2012-11-30,-0.02405546378810164,0.1378020312993749
119,pakistan,2012-12-15,-0.03444869576549614,0.13663737151372385
